id,Qid,Answer,Love,Hunger,Life
0,0,응,10,0,0
1,0,아니,0,0,-1
2,0,글쎄…,-5,5,0
0,1,원숭이 엉덩이맛,0,0,-1
1,1,빠빠빨간맛! 궁금해 허니!,10,5,0
2,1,사과 톡톡톡! 트로(삐-)카나 스파클링!,0,-5,0
0,2,난 짜파게T 아니면 안먹는거 알지?,-5,-5,0
1,2,니가 끓인 라면은 탱탱 불어서 다시 반죽을 해도 될 정도다!,0,0,-1
2,2,(더 이상의 자세한 설명은 생략한다.),15,5,0
0,3,온갖 음해에 시달렸습니다!,0,10,0
1,3,Das Boot 우 야~ 정말 완벽하게 멋져♡,0,-10,0
2,3,정말 간절히 원하면 우주가 나서서 도와준다.,0,0,-1
0,4,라면먹고 갈래?,0,0,-1
1,4,주변에 더 이상 먹을 게 없어요. 미안해요 카메라맨.,0,-15,0
2,4,참치 참치 고추참치 참치 참치 고추참치,10,5,0
0,5,어제 무리를 했더니 허리가 아파…,0,0,-1
1,5,업어줄 수는 있는데 내 다리가 버텨줄지 모르겠어.,5,5,0
2,5,힘이 들 땐 너의 두 다리가 되어줄게.,15,0,0
0,6,지구가 자전하는 중이라 그래.,10,5,0
1,6,뭐라도 좀 먹고 갈래?,0,-10,0
2,6,저기 벤치에서 좀 쉬었다 갈까 그럼?,0,0,-1
0,7,그정도까진 아닌거 같아…,0,0,-1
1,7,니가 그렇게 말한다면 그런 거겠지…,-5,5,0
2,7,아까 통화한 그놈 대체 누구야?,10,0,0
0,8,몸매,0,0,-1
1,8,얼굴,0,0,-1
2,8,너,15,5,0
0,9,물어보는건 되는데 깨물어보는건 안돼.,10,0,0
1,9,꼭...그렇게 깨물어야만...속이 후련했냐!,0,5,0
2,9,금니 빼고 모조리 씹어먹을거지? ㄷㄷㄷ,0,0,-1
0,10,당연히 자기부터 구해야지!,10,5,0
1,10,(절친을 고르면 이 게임 수준이 너무 낮아지겠지?),0,0,-1
2,10,왜 거기에 둘이 같이 있어?,0,-5,0
0,11,이보세요! 여긴 중환자실이 아닙니다. 전화는 없어요!,5,0,0
1,11,안정을 취하세요. 흥분하면 다시 날 물 수도 있어요.,0,5,0
2,11,1좀비는 너무 적소. 4좀비쯤 합시다!,0,0,-1
0,12,오라!,10,0,0
1,12,무다!,0,-10,0
2,12,메디!,0,0,-1
0,13,지친 하루가 가고 달빛아래 두사람 하나의 그림자~,10,0,0
1,13,당신을 향한 나의 사랑은 무조건 무조건이야~,5,-5,0
2,13,널 사랑하지 않아~ 다른이유는 없어~,0,0,-1
0,14,집에서 엄마가 차려준 밥,10,10,0
1,14,자기가 나한테 해준 지옥토사물 파스타,0,0,-1
2,14,입맛이 별로 없어,0,-5,0
0,15,엄마,10,0,0
1,15,아빠,10,0,0
2,15,안선생님,0,0,-1
0,16,응,-5,-5,0
1,16,아니,5,0,0
2,16,내 대답도 그렇게 멀쩡하진 않지…,10,0,0
0,17,아아아아아아아아아아아니?!(흠칫),0,0,-1
1,17,지금 내 귓속에는 도청장치가 달려 있습니다!,-5,-5,0
2,17,….중구가 시키드나?,5,0,0
0,18,자기남편!,10,0,0
1,18,지구정복!,0,-5,0
2,18,우주정복!,0,10,0
0,19,음….외모?,5,-5,0
1,19,흠….성격?,10,5,0
2,19,……..재산?,0,0,-1
0,20,아까 음료수 하나 챙겨놓은거 하나 줄게. 이거랑 같이 먹어.,5,-10,0
1,20,닭가슴살은 푸석푸석하지만@ 귀중한 단백질 공급원입니다.,10,-5,0
2,20,…………….(좀비가 먹었던 걸 먹어도 괜찮을…까?),0,0,-1
0,21,날 이렇게 막 대한 여자는 니가 처음이야!,0,0,-1
1,21,이쁘니까!,5,0,0
2,21,그냥 좋아. 실은 지금도 왜 좋은지는 잘 모르겠어.,10,0,0
0,22,기억나지. 자기가 나 좋다고 막 따라다녔던거...,5,0,0
1,22,고백은 자기가 했지만@ 좋아했던 건 내가 더 먼저였어.,10,5,0
2,22,지금 이상황에서 그게 무슨 의미가 있니?,0,0,-1
0,23,아…집에 놓고 왔어.,-5,0,0
1,23,아까 손 씻으면서 주머니에 넣었는데…어디갔더라?,-10,0,0
2,23,전에 급전이 필요해서 전당포에 잠시 맡겼어.,-15,0,0
0,24,난 내가 말하는 것 보다 자기 목소리 듣는게 좋아.,15,0,0
1,24,말말말말말말말말말말말,0,0,-1
2,24,너는 물에 빠지면 입만 동동 뜰거같아.,0,0,-1
0,25,손 끝으로 원을 크게 그려봐. 그걸 뺀 만큼 널 사랑해.,10,5,0
1,25,하늘만큼 땅만큼!,5,0,0
2,25,내가 널 얼마나 사랑하는지 5분 동안 보여준다면 믿을래?,0,0,-1
0,26,고기 굽는 냄새 같은데 가서 한 점 달라고 해볼까?,0,-10,0
1,26,너 때문에 내 심장이 뜨겁게 타고 있어서 그래.,5,0,0
2,26,기분 탓이겠지…,0,0,-1
0,27,그래…알긴 아는구나.,-10,0,-1
1,27,아냐 하나도 안귀찮아~,5,0,0
2,27,이거라도 좀 먹고 있어.,0,10,0
0,28,음...괜찮은거 같은데? 자기도 좀 먹어봐.,0,-10,0
1,28,맛이 좀…이상한데? 그냥 내가 다 먹어치울게.,-10,0,0
2,28,너 나중에 나랑 결혼해서도 그런거 먹일거지?,0,0,-1
0,29,응,10,0,0
1,29,아니,0,10,0
2,29,손발톱 짧게 자르고 입마개만 잘 하면 괜찮을거 같아.,0,0,-1
0,30,나 지금 양치를 안해서…이따 양치하고 해줄게!,-5,0,0
1,30,우웁...알았어 이리와봐 자기….우웨웨에에에에엑!,0,0,-1
2,30,정신차리고 주변을 봐. 지금 키스할 때가 아냐.,-10,0,0
0,31,그걸 말이라고…당연한 거 아냐?,5,0,0
1,31,다른 남자도 만나 보고@ 그래도 생각나면 다시 나한테로 와.,10,5,0
2,31,우선 살아남은 뒤에 생각해보자.,-5,0,0
0,32,모르는 천장이다.,0,10,0
1,32,정신과 시간의 방,0,10,0
2,32,니 마음 속♡,5,0,0
0,33,잠시만 기다려! 금방 꺾어가지고 올게!,0,-5,-1
1,33,어디? 난 잘 안보이는데…?,-5,0,0
2,33,군필자의 직감인데@ 저걸 따러 갔다간 큰일이 날 것 같아.,-10,0,0
0,34,탕수육은 부어 먹어야 제맛이지!,0,-10,0
1,34,난 소스를 살짝만 찍어 바삭한 튀김옷을 즐기고 싶어. ,0,-10,0
2,34,그런 고민할 시간에 하나라도 더 주워먹을거야.,0,0,-1
0,35,좀비도 있는데 하물며 귀신이 없을까…?,5,0,0
1,35,저 귀신에게는 슬픈 전설이 있어. 난 전설따위 믿지 않아.,5,0,0
2,35,너는 내가 아직도 니 남자친구로 보이니?,0,0,-1
0,36,드!,5,0,0
1,36,라!,0,0,-1
2,36,슈렛!,10,5,0
0,37,맑은 날이 좋아.,5,0,0
1,37,눈오는 날이 좋지.,5,0,0
2,37,네가 내게 오는 날이 제일 좋아.,10,-5,0
0,38,밖은 위험하니 이 아이들 중 하나를 데려가렴.,5,-5,0
1,38,나는 자기랑 이렇게 단 둘이 있는 게 좋아. 물지만 않는다면…,10,0,0
2,38,Evil박근 위험혜!,0,0,-1
0,39,진정한 남자라면 트루 워치프님의 유지를 따라야지!,10,0,0
1,39,빛의 인도를 따르는 우리 사적님을 무시하지 마라!,0,0,-1
2,39,그 게임 안한 지가 너무 옛날이라…이젠 아무래도 상관없어,-5,-5,0
0,40,그러게…,-5,0,0
1,40,눈이라도 좀 감고 있을래?,5,0,0
2,40,아 ㅅㅂ 꿈…,0,0,-1
0,41,이제 여기엔 남은 물이 없어.,0,10,0
1,41,근처에 물이 있는지 살펴보고 올게.,5,-5,0
2,41,사딸라…,5,0,0
0,42,을 외워보자. 야발라기히야~ 야발라기히야~,0,-5,0
1,42,피청구인 대통령 박(삐-)를 파면한다.,5,0,0
2,42,시전에 실패했습니다.,0,0,-1
0,43,각,0,0,-1
1,43,픽픽픽~ 트롤픽하나~,0,-10,0
2,43,대기중,0,0,-1
0,44,내가 외로울 때면 누가 위로해주지?,5,0,0
1,44,도 슬퍼도 나는 안울어~ 참고참고 또 참지 울긴 왜울어~,5,-5,0
2,44,외로워 마세요~ 사는 게 다 그런거지~,5,0,0
0,45,산타 할아버지한테 선물 많이 받을 수 있겠구나?,0,0,-1
1,45,물 마신게 별로 없어서 그럴거야.,5,5,0
2,45,이런 피도 눈물도 없는 좀비같으니…아…피는 있구나.,0,0,-1
0,46,어서 이 끔찍한 악몽에서 깨어날 수 있었으면 좋겠어.,-5,0,0
1,46,그래도 아직은 네 품이 따뜻해서 다행이야.,10,0,0
2,46,나는 아무런 생각이 없다. 왜냐면 아무런 생각이 없기 때문이다.,0,0,-1
0,47,피부색이 달라도 넌 변함없이 예뻐.,10,0,0
1,47,조금 특별한 선탠을 했다고 생각하자구.,5,-5,0
2,47,색놀이 스킨 씌운거 같아.,0,0,-1
0,48,이제 먹을 게 그리 많지 않아. 아껴 먹어야 해.,0,-10,0
1,48,지금의 너와 결혼한다면@ 식비때문에 등골이 휘어질거야.,15,0,0
2,48,니가 히딩크냐?,0,0,-1
0,49,세상이 넓은 만큼 궁금한 것도 널려있으니까.,5,0,0
1,49,아버지 날 보고 있다면 정답을 알려줘.,0,5,0
2,49,그래서 먹고싶은 것도 많나봐….,0,0,-1
0,50,난 죽음을 경험한 적이 없네!,5,0,0
1,50,너에게 라크쉬르를 신청한다!,0,0,-1
2,50,니가 바로 칼날 여왕이다!,10,0,0
0,51,10000연속 가챠!,0,0,-1
1,51,내일이 어떻게 바뀔 지 모르니@ 일단 가지고 있어봐야지.,15,0,0
2,51,지폐로 바꿔서 불이나 떼야지.,0,-5,0
0,52,네 생일은 아닌거 같은데…기념일도 아니고…,-10,0,0
1,52,그냥 오늘도 평범한 하루야. 너와 함께하는 보통의 하루…,10,0,0
2,52,어제 죽은 자가 그토록 살고 싶어했던 내일이지.,0,-10,0
0,53,사랑받기 위해 태어난 사람,10,0,0
1,53,죽을 수도 있습니다.,-10,0,0
2,53,누구세요?,0,0,-1
0,54,우리 만남은 우연이 아니야. 그것은 우리의 바램이였어.,10,0,0
1,54,저주받은 운명을 사는 비극의 주인공이 바로 나 아닐까?,0,0,-1
2,54,이건 우리 운명이….아니였는데…,0,0,-1
0,55,나뭇잎 마을의 통수는 두번 친다고 하지.,-5,0,0
1,55,떨어진 나뭇잎은 다시 붙이면 돼.,15,0,0
2,55,나뭇잎위키 꺼라.,-5,-5,0
0,56,그냥 나뭇가지에 연이 걸린 것 뿐이야. 별거 아냐.,5,-5,0
1,56,아무것도 없어. 난 뒤통수에도 눈이 있어서 다 볼 수 있다고.,0,0,-1
2,56,저격수다! 얼른 몸을 숙여!,10,0,0
0,57,죽어본 적이 없어서 잘 모르겠어.,0,0,-1
1,57,좀비가 된 사람도 사후세계로 갈 수 있겠지?,10,-5,0
2,57,믿는 도끼에 발등 찍혀본 적 있어?,0,0,-1
0,58,올 때 메○나!,0,-10,0
1,58,하겐○즈!,0,-10,0
2,58,난! 엄마는 외계인!,0,-10,0
0,59,다시 게워낸 적은 없는 걸 보니 대체적으로 그런 것 같아.,0,0,-1
1,59,화장실은 다녀왔어?,0,0,-1
2,59,좀비는 에너지를 엄청 효율적으로 쓰는 게 아닐까?,5,5,0
0,60,배가 고프면 이야기를 해. 나는 아직 버틸만하니까.,5,-5,0
1,60,온전히 잡아먹히기 전에 나도 좀비가 되지 않을까?,0,0,-1
2,60,그거 듣던 중 반가운 소리로군.,-10,0,0
0,61,구토 빔이라도 발사할 것 같은데…,-10,-5,0
1,61,살짝 술에 취했을 때의 넌 참 귀여웠어.,10,0,0
2,61,지나친 음주는 알코올 중독을 유발할 수 있습니다.,5,5,0
0,62,저기…입가에 흐르는 침부터 좀 닦고 이야기하면 안될까?,0,-5,0
1,62,과…과연…이것이 흑염룡을 두른 자의 힘인가!,10,0,0
2,62,흑역사를 갱신하는 건 좀비일 때도 변함이 없구나.,0,0,-1
0,63,쫄리면 죽어야지….그치?,0,0,-1
1,63,고니는 내가 본 사람 중에 최고의 타짜였어.,10,0,0
2,63,자기야 그 패 봐바. 사쿠라야?,5,-5,0
0,64,실은 좀비가 아니라 초인계 열매를 복용한 게 아닐까?,0,0,-1
1,64,곧 괜찮아 질거야. 조금만 더 힘을 내.,10,0,0
2,64,아니. 포도맛 인간이 된 걸지도 몰라.,0,-5,-1
0,65,전위대! 전위대!,-5,0,0
1,65,X소리 집어치워! 무슨 감각이 없어진다는 거야!,0,0,-1
2,65,선생께서는 이제 감각을 느끼실 수가 없게 되었습니다.,-5,0,0
0,66,지금도 거기 올라가면 온갖 장난감들이 다 있을걸?,5,0,0
1,66,먼지만 잔뜩 쌓여서 퀘퀘한 냄새만 났었어 내 다락방은.,-5,0,0
2,66,…이젠 아냐…,0,0,-1
0,67,내 성 정체성은 확고해. 너랑 사귀는 걸 보면 알 수 있지!,5,0,0
1,67,젠장! 문이 잠겨있어!,0,0,-1
2,67,찰지구나!,10,0,0
0,68,좀비도 악마라면 지옥에 가겠지…,0,-5,0
1,68,최대한 해를 끼치지 않는다면 천국으로 갈 수도 있지 않을까?,5,0,0
2,68,그것이 바로 뒤틀린 어미요. 폐허에 더 많이 있소!,0,0,-1
0,69,조직검사부터 의뢰한 후에 맛을 봐도 늦진 않을 것 같아.,-5,0,0
1,69,…별로 상상하고 싶지 않아.,-5,0,0
2,69,보라색 맛 났어!,0,0,-1
0,70,그래도 암은 아니니까 다행…아닐까?,5,0,0
1,70,난 곱창이 더 땡긴다.,0,-5,0
2,70,아주머니! 여기 막창 하나 추가요!,0,-5,0
0,71,당장은 위험하겠지만@ 버텨보면 괜찮아지지 않을까?,15,0,0
1,71,니가 물면 나도 널 한입 물어버릴거야. 조심하라고!,-5,5,0
2,71,괜찮아. 빨간약 얼큰하게 한잔 들이키면 되니까.,0,0,-1
0,72,맹견주의,-10,0,0
1,72,난 늘 틀어지지 않는 최선의 수를 두지. 후훗…,-5,0,0
2,72,어디에다 대고 신성한 남친한테 협박질이야!,0,0,-1
0,73,식은 땀은 조금 나지만@ 내색은 하지 않을게.,5,0,0
1,73,후훗…귀여운것…,5,0,0
2,73,으훼훼헤ㅔ헤헹헤헤헤ㅔㅎ헤케케ㅔㅋ케크컥...컥컥…크흠!,10,5,0
0,74,묻어줄까? 아니면 태워줄까?,-10,0,0
